PLAYHome,TIME,SCORE,MAR,PLAYUC
SUBIN:KuanyKuany,10:13,,,SUBIN:VitalChristian
SUBOUT:ShastriKiran,10:13,,,SUBOUT:AdamsJalen
MISSEDJUMPERbyPopeAustin,09:55,,,REBOUND(DEF)byPurvisRodney
,09:49,,,TURNOVRbyPurvisRodney
SUBIN:ShastriKiran,09:48,,,
SUBOUT:PollardNate,09:48,,,
MISSED3PTRbyKuanyKuany,09:30,,,
REBOUND(OFF)byPopeAustin,09:30,,,
GOOD!LAYUPbyPopeAustin[PNT],09:26,64-68,4,
MISSEDFTSHOTbyPopeAustin,09:26,,,FOULbyJacksonVance(P3T5)
,09:26,,,REBOUND(DEF)byJacksonVance
,09:26,,,SUBIN:FaceyKentan
,09:26,,,SUBIN:AdamsJalen
,09:26,,,SUBOUT:DurhamJuwan
,09:26,,,SUBOUT:BrimahAmida
,09:03,64-70,6,GOOD!LAYUPbyFaceyKentan[PNT]
,09:03,,,ASSISTbyAdamsJalen
GOOD!3PTRbyKuanyKuany,08:44,67-70,3,
FOULbyShastriKiran(P3T6),08:21,,,
,08:12,67-72,5,GOOD!LAYUPbyFaceyKentan[PNT]
,08:12,,,ASSISTbyPurvisRodney
MISSEDLAYUPbyGoodwinRohndell,07:55,,,BLOCKbyFaceyKentan
,07:53,,,REBOUND(DEF)byJacksonVance
FOULbyPopeAustin(P2T7),07:51,,,
,07:51,,,TIMEOUTmedia
,07:51,67-73,6,GOOD!FTSHOTbyJacksonVance
REBOUND(DEF)byPopeAustin,07:51,,,MISSEDFTSHOTbyJacksonVance
TURNOVRbyPopeAustin,07:38,,,
,07:36,,,STEALbyVitalChristian
FOULbyWalkerDantley(P1T8),07:36,,,MISSEDFTSHOTbyVitalChristian
REBOUND(DEF)byKuanyKuany,07:36,,,
GOOD!JUMPERbyGoodwinRohndell[PNT],07:09,69-73,4,
,06:53,69-75,6,GOOD!JUMPERbyPurvisRodney[PNT]
,06:53,,,ASSISTbyVitalChristian
MISSED3PTRbyPopeAustin,06:26,,,REBOUND(DEF)byAdamsJalen
,06:05,69-77,8,GOOD!LAYUPbyJacksonVance[PNT]
FOULbyKuanyKuany(P4T9),06:05,,,MISSEDFTSHOTbyJacksonVance
REBOUND(DEF)byKuanyKuany,06:05,,,
SUBIN:DalySam,06:05,,,
SUBOUT:WalkerDantley,06:05,,,
GOOD!FTSHOTbyShastriKiran,05:54,70-77,7,FOULbyJacksonVance(P4T6)
GOOD!FTSHOTbyShastriKiran,05:54,71-77,6,
,05:54,,,SUBIN:DurhamJuwan
,05:54,,,SUBOUT:JacksonVance
,05:29,71-80,9,GOOD!3PTRbyPurvisRodney
GOOD!3PTRbyShastriKiran,05:09,74-80,6,
ASSISTbyDalySam,05:09,,,
