PLAYUC,TIME,SCORE,MAR,PLAYVisitor
REBOUND(DEF)byAdamsJalen,03:24,,,MISSEDJUMPERbyHOWARDFRANK
GOOD!3PTRbyAdamsJalen,02:58,49-44,5,
ASSISTbyPurvisRodney,02:58,,,
,02:32,49-46,3,GOOD!JUMPERbyCOLEMANDAJUAN
,02:32,,,ASSISTbyHOWARDFRANK
MISSEDFTSHOTbyBrimahAmida,02:02,,,FOULbyHOWARDFRANK(P4T9)
REBOUND(OFF)by(DEADBALL),02:02,,,
MISSEDFTSHOTbyBrimahAmida,02:02,,,REBOUND(DEF)byLYDONTYLER
,01:34,,,TURNOVRbyCOLEMANDAJUAN
STEALbyBrimahAmida,01:33,,,
MISSED3PTRbyPurvisRodney,01:06,,,REBOUND(DEF)byCOLEMANDAJUAN
REBOUND(DEF)byBrimahAmida,00:53,,,MISSED3PTRbyWHITEIIIANDREW
TIMEOUTTEAM,00:46,,,
MISSEDJUMPERbyBrimahAmida,00:36,,,REBOUND(DEF)byCOLEMANDAJUAN
REBOUND(DEF)byFaceyKentan,00:26,,,MISSED3PTRbyWHITEIIIANDREW
MISSEDFTSHOTbyFaceyKentan,00:23,,,FOULbyLYDONTYLER(P3T10)
REBOUND(OFF)by(DEADBALL),00:23,,,
MISSEDFTSHOTbyFaceyKentan,00:23,,,REBOUND(DEF)byLYDONTYLER
FOULbyBrimahAmida(P3T6),00:23,,,
FOULbyBrimahAmida(P4T7),00:22,49-47,2,GOOD!FTSHOTbyHOWARDFRANK
REBOUND(DEF)byFaceyKentan,00:20,,,MISSEDFTSHOTbyHOWARDFRANK
MISSEDFTSHOTbyAdamsJalen,00:16,,,FOULbyWHITEIIIANDREW(P2T11)
REBOUND(OFF)by(DEADBALL),00:16,,,
GOOD!FTSHOTbyAdamsJalen,00:16,50-47,3,
SUBIN:DurhamJuwan,00:16,,,SUBIN:GILLONJOHN
SUBOUT:BrimahAmida,00:16,,,SUBOUT:COLEMANDAJUAN
,00:09,50-50,0,GOOD!3PTRbyWHITEIIIANDREW
MISSED3PTRbyPurvisRodney,00:09,,,
REBOUND(OFF)byVitalChristian,00:09,,,
,00:02,,,FOULbyBATTLETYUS(P4T12)
,00:02,,,TIMEOUTTEAM
GOOD!FTSHOTbyVitalChristian,00:02,51-50,1,
GOOD!FTSHOTbyVitalChristian,00:02,52-50,2,
SUBIN:BrimahAmida,00:02,,,SUBIN:COLEMANDAJUAN
SUBOUT:DurhamJuwan,00:02,,,SUBOUT:GILLONJOHN
STEALbyPurvisRodney,00:00,,,TURNOVRbyLYDONTYLER
