PLAYHome,TIME,SCORE,MAR,PLAYUC
,01:29,,,REBOUND(OFF)by(DEADBALL)
FOULbyMcCLENDONJeffery(P3T7),01:27,,,MISSEDFTSHOTbyBrimahAmida
REBOUND(DEF)byJOHNSONShamar,01:27,,,
SUBIN:HANEYSteven,01:27,,,
SUBOUT:McCLENDONJeffery,01:27,,,
TIMEOUTTEAM,01:20,,,
MISSED3PTRbyTUACHBuay,00:59,,,
REBOUND(OFF)byJOHNSONShamar,00:59,,,
MISSEDFTSHOTbyJOHNSONShamar,00:57,,,
,00:57,,,FOULbyBrimahAmida(P4T8)
,00:57,,,REBOUND(DEF)byBrimahAmida
SUBIN:McCLENDONJeffery,00:57,,,
SUBOUT:HANEYSteven,00:57,,,
,00:30,,,MISSED3PTRbyLarrierTerry
,00:30,,,REBOUND(OFF)byBrimahAmida
,00:26,,,MISSEDLAYUPbyBrimahAmida
,00:26,,,REBOUND(OFF)byAdamsJalen
FOULbyMcCLENDONJeffery(P4T8),00:20,62-64,+2,GOOD!FTSHOTbyAdamsJalen
,00:20,62-65,+3,GOOD!FTSHOTbyAdamsJalen
SUBIN:HANEYSteven,00:20,,,SUBIN:JacksonVance
SUBOUT:McCLENDONJeffery,00:20,,,SUBOUT:BrimahAmida
TURNOVRbyHANEYSteven,00:07,,,
FOULbyBROWNBrandon(P4T9),00:06,,,MISSEDFTSHOTbyAdamsJalen
REBOUND(DEF)byJOHNSONShamar,00:06,,,
MISSED3PTRbyBROWNBrandon,00:02,,,
,00:00,,,REBOUND(DEF)by(DEADBALL)
