PLAYHome,TIME,SCORE,MAR,PLAYUC
BLOCKbyBates-DiopKeita,04:04,,,MISSEDJUMPERbyJacksonVance
,04:02,,,REBOUND(OFF)byBrimahAmida
,03:57,52-52,0,GOOD!JUMPERbyBrimahAmida
,03:57,,,ASSISTbyJacksonVance
MISSEDJUMPERbyThompsonTrevor,03:23,,,
REBOUND(OFF)byLovingMarc,03:23,,,
GOOD!JUMPERbyLovingMarc[PNT],03:20,54-52,2,
,02:58,54-54,0,GOOD!JUMPERbyFaceyKentan[PNT]
TURNOVRbyLovingMarc,02:40,,,
,02:40,,,TIMEOUTMEDIA
,02:30,,,TURNOVRbyAdamsJalen
STEALbyLyleJaQuan,02:29,,,
MISSEDLAYUPbyLyleJaQuan,02:26,,,
REBOUND(OFF)byThompsonTrevor,02:26,,,
GOOD!FTSHOTbyThompsonTrevor,02:24,55-54,1,FOULbyAdamsJalen(P3T11)
GOOD!FTSHOTbyThompsonTrevor,02:24,56-54,2,
,02:04,,,TURNOVRbyPurvisRodney
GOOD!FTSHOTbyLyleJaQuan,01:45,57-54,3,FOULbyBrimahAmida(P5T12)
GOOD!FTSHOTbyLyleJaQuan,01:45,58-54,4,
,01:45,,,SUBIN:VitalChristian
,01:45,,,SUBOUT:BrimahAmida
,01:41,,,TIMEOUTTEAM
REBOUND(DEF)byTateJae'Sean,01:33,,,MISSEDLAYUPbyAdamsJalen
MISSEDJUMPERbyTateJae'Sean,01:06,,,REBOUND(DEF)byPurvisRodney
REBOUND(DEF)byBates-DiopKeita,00:58,,,MISSED3PTRbyPurvisRodney
TIMEOUTTEAM,00:46,,,
GOOD!FTSHOTbyLyleJaQuan,00:42,59-54,5,FOULbyFaceyKentan(P5T13)
GOOD!FTSHOTbyLyleJaQuan,00:42,60-54,6,
,00:42,,,SUBIN:EnochSteven
,00:42,,,SUBOUT:FaceyKentan
,00:41,,,TIMEOUT30sec
FOULbyLyleJaQuan(P2T4),00:38,,,
REBOUND(DEF)byLyleJaQuan,00:35,,,MISSED3PTRbyAdamsJalen
GOOD!FTSHOTbyLyleJaQuan,00:30,61-54,7,FOULbyVitalChristian(P4T14)
GOOD!FTSHOTbyLyleJaQuan,00:30,62-54,8,
FOULbyTateJae'Sean(P3T5),00:28,,,
,00:26,62-57,5,GOOD!3PTRbyAdamsJalen
,00:26,,,ASSISTbyJacksonVance
MISSEDFTSHOTbyTateJae'Sean,00:23,,,FOULbyAdamsJalen(P4T15)
REBOUND(OFF)by(DEADBALL),00:23,,,
GOOD!FTSHOTbyTateJae'Sean,00:23,63-57,6,
SUBIN:JacksonC.J.,00:22,,,
SUBOUT:ThompsonTrevor,00:22,,,
,00:18,63-59,4,GOOD!LAYUPbyAdamsJalen[FB/PNT]
FOULbyTateJae'Sean(P4T6),00:18,63-60,3,GOOD!FTSHOTbyAdamsJalen
SUBIN:ThompsonTrevor,00:18,,,
SUBOUT:JacksonC.J.,00:18,,,
MISSEDFTSHOTbyLovingMarc,00:17,,,FOULbyJacksonVance(P3T16)
REBOUND(OFF)by(DEADBALL),00:17,,,
GOOD!FTSHOTbyLovingMarc,00:17,64-60,4,
,00:12,,,MISSEDLAYUPbyAdamsJalen
,00:12,,,REBOUND(OFF)by(TEAM)
,00:06,,,MISSEDLAYUPbyAdamsJalen
,00:06,,,REBOUND(OFF)byAdamsJalen
REBOUND(DEF)by(TEAM),00:01,,,MISSED3PTRbyVitalChristian
